Role ID,Title,Description,Skills,Progress Paths,Education Requirements,Embedding,Metadata
64b13426b8c6cc08ffa93234,Local government administrative assistant,Local government administrative assistants provide office support in council departments and give information to the public.,"administration skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to work on your own, sensitivity and understanding, to be flexible and open to change, excellent verbal communication skills, customer service skills, to be able to use a computer and the main software packages competently, ","With experience, you could progress to admin officer, office manager or jobs in other local authority departments.

You could also move into administrative work in other sectors.","['a college course', 'an apprenticeship', 'applying directly', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93237,Medical secretary,"Medical secretaries provide office support in hospitals, GP surgeries, private clinics and universities.","administration skills, customer service skills, to be thorough and pay attention to detail, the ability to work well with others, patience and the ability to remain calm in stressful situations, sensitivity and understanding, the ability to accept criticism and work well under pressure, excellent verbal communication skills, to be able to use a computer and the main software packages competently, ","With experience, you could manage a team of secretaries in a large organisation.

With further training, you could become an administration manager, office manager or GP practice manager.

You could also move into roles in finance or HR","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa9323c,Purchasing manager,"Purchasing managers buy equipment, goods and services for their company.","business management skills, customer service skills, patience and the ability to remain calm in stressful situations, the ability to use your initiative, to be flexible and open to change, analytical thinking skills, maths knowledge, persuading and negotiating skills, to be able to use a computer and the main software packages competently, ",You can improve your career prospects with a qualification from the Chartered Institute of Purchasing and Supply.,"['a university course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa9323f,Recruitment consultant,"Recruitment consultants help employers find suitable staff, and match people to permanent and temporary jobs.","knowledge of human resources and employment law, administration skills, to be thorough and pay attention to detail, the ability to work well with others, sensitivity and understanding, the ability to work on your own, business management skills, patience and the ability to remain calm in stressful situations, to have a thorough understanding of computer systems and applications, ","With experience you could move into business development or management, or set up your own agency.","['a university course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93240,"Registrar of births, deaths, marriages and civil partnerships","Registrars collect and record details of all births, deaths, marriages and civil partnerships.","administration skills, customer service skills, excellent verbal communication skills, knowledge of English language, to be thorough and pay attention to detail, the ability to accept criticism and work well under pressure, active listening skills, legal knowledge including court procedures and government regulations, to be able to use a computer and the main software packages competently, ","With experience, you could be promoted from assistant registrar to deputy registrar, then to registrar and superintendent.

Each district has at least one superintendent registrar and deputy, and each sub-district has a registrar and deputy.","['working towards this role', 'applying directly', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93241,Reprographic assistant,"Reprographic assistants use copiers, scanners and printers to make documents, brochures, leaflets and pictures.","to be thorough and pay attention to detail, the ability to accept criticism and work well under pressure, physical skills like movement, coordination and dexterity, design skills and knowledge, ambition and a desire to succeed, analytical thinking skills, observation and recording skills, the ability to work well with your hands, to be able to use a computer and the main software packages competently, ","With experience, you could become a departmental supervisor or production controller.

In a print shop, you could become a shop manager.","['a college course', 'an apprenticeship', 'applying directly', '']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa93249,Telephonist,"Telephonists, or switchboard operators, answer and connect calls and take messages.","customer service skills, patience and the ability to remain calm in stressful situations, to be flexible and open to change, to be thorough and pay attention to detail, the ability to work well with others, excellent verbal communication skills, administration skills, a desire to help people, to be able to carry out basic tasks on a computer or hand-held device, ","With experience you could apply for work as an administrator, customer services specialist or customer services supervisor.","['a college course', 'an apprenticeship', 'applying directly', '']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa9322a,GP practice manager,GP practice managers run the business side of doctors' surgeries and health centres.,"to be thorough and pay attention to detail, business management skills, knowledge of English language, administration skills, leadership skills, the ability to work well with others, excellent verbal communication skills, patience and the ability to remain calm in stressful situations, to be able to use a computer and the main software packages competently","With experience you could:

become a partner of a GP practice
move into healthcare management in a hospital, health authority or NHS trust
work as a manager in private healthcare or in social services","['working towards this role', 'applying directly', 'training courses run by professional bodies']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa9322e,Human resources officer,"Human resources (HR) officers hire, develop and look after employees in a company.","administration skills, knowledge of human resources and employment law, to be thorough and pay attention to detail, the ability to work well with others, the ability to monitor your own performance and that of your colleagues, excellent written communication skills, business management skills, sensitivity and understanding, to be able to use a computer and the main software packages competently","You could move from small organisations to large public, private or voluntary sector HR departments.

You could take further training through part-time study or an apprenticeship to become a human resources manager.

You may also be able to:

become an HR specialist in an area like staff development or training
set up your own consultancy to give recruitment or policy advice
work as a HR specialist in the Army or the Royal Air Force","['a university course', 'a college course', 'an apprenticeship', 'working towards this role', 'specialist courses run by professional bodies']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa9323e,Receptionist,Receptionists are the first point of contact for visitors to organisations.,"customer service skills, the ability to work well with others, to be thorough and pay attention to detail, administration skills, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, sensitivity and understanding, excellent verbal communication skills, to be able to carry out basic tasks on a computer or hand-held device, ","With training and experience, you could move into a senior receptionist or personal assistant (PA) role.

In a GP surgery or health centre, you could train to become a medical secretary or a practice manager.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa93246,Security Service personnel,Security Service personnel protect the UK against threats to national security.,"knowledge of public safety and security, the ability to accept criticism and work well under pressure, patience and the ability to remain calm in stressful situations, legal knowledge including court procedures and government regulations, to be thorough and pay attention to detail, the ability to work well with others, the ability to use your initiative, complex problem-solving skills, to be able to use a computer and the main software packages competently, ","With experience and a good performance record, you could move into management. You could also move to another station in the UK or apply for opportunities with SIS (Secret Intelligence Service MI6) and GCHQ (Government Communications Headquarters).","['a university course', 'an apprenticeship', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93247,Sports development officer,Sports development officers organise projects and training to encourage people to take part in sport and have a healthier lifestyle.,"patience and the ability to remain calm in stressful situations, the ability to work well with others, sensitivity and understanding, leadership skills, to be thorough and pay attention to detail, the ability to work on your own, knowledge of English language, knowledge of teaching and the ability to design courses, to be able to use a computer and the main software packages competently, ","With experience you could become a sports development manager or a regional manager.

You may be able to move into policy development or work as a consultant on a freelance basis.","['a university course', 'a college course', 'an apprenticeship', 'volunteering', 'applying directly', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa9321b,Sales administrator,"Sales administrators process sales orders and payments, arrange deliveries and offer after-sales support.","customer service skills, excellent verbal communication skills, business management skills, the ability to use your initiative, the ability to work well with others, the ability to sell products and services, persistence and determination, the ability to accept criticism and work well under pressure, to be able to use a computer and the main software packages competently","With experience, you could become a sales admin team leader, personal assistant or office manager.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa9321c,Pensions administrator,Pensions administrators handle the day-to-day running of pension schemes and life insurance policies.,"customer service skills, the ability to sell products and services, to be thorough and pay attention to detail, the ability to use your initiative, the ability to accept criticism and work well under pressure, persistence and determination, patience and the ability to remain calm in stressful situations, excellent verbal communication skills, to be able to use a computer and the main software packages competently, ","With experience, you could become a team leader, supervisor or pensions manager. With further study, you could qualify as a financial adviser.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa9321e,Assistant immigration officer,Assistant immigration officers check that people have the right to visit or stay in the UK.,"excellent verbal communication skills, patience and the ability to remain calm in stressful situations, customer service skills, knowledge of English language, thinking and reasoning skills, excellent written communication skills, the ability to work well with others, to be thorough and pay attention to detail, to be able to carry out basic tasks on a computer or hand-held device",You could become an immigration officer or move to other posts in the Civil Service.,"['a college course', 'an apprenticeship', 'applying directly']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa9321f,Bid writer,Bid writers prepare documents used to request contracts to provide services or apply for funding.,"knowledge of English language, excellent written communication skills, to be thorough and pay attention to detail, excellent verbal communication skills, knowledge of computer operating systems, hardware and software, the ability to think clearly using logic and reasoning, administration skills, the ability to use your initiative, to be able to use a computer and the main software packages competently","You could become a team leader, senior bid writer or bids and proposals manager.

You could also transfer your skills to other kinds of technical writing or contract management.","['a university course', 'an apprenticeship', 'working towards this role', 'specialist courses run by professional bodies']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93220,Bilingual secretary,Bilingual secretaries provide administrative services in English and one or more foreign languages.,"administration skills, to be thorough and pay attention to detail, the ability to work well with others, active listening skills, to be flexible and open to change, patience and the ability to remain calm in stressful situations, knowledge of English language, excellent verbal communication skills, to be able to use a computer and the main software packages competently","With experience, you could be promoted to personal assistant or office manager.

You could move into translating or interpreting, or international business, sales or marketing.

You could move into a specialised bilingual role like bilingual legal secretary or bilingual medical secretary","['a university course', 'a college course', 'an apprenticeship', 'applying directly']",,{'requiredWeight': 0.7}
64b13426b8c6cc08ffa9322c,Health records clerk,Health records clerks keep medical records up to date.,"to be thorough and pay attention to detail, the ability to work well with others, administration skills, the ability to use your initiative, to be flexible and open to change, patience and the ability to remain calm in stressful situations, analytical thinking skills, excellent verbal communication skills, to be able to use a computer and the main software packages competently","You can study with the Institute of Health Record Information and Management (IHRIM) for a more senior role or to specialise in areas such as clinical coding.

With qualifications and experience you could become a medical secretary or a health records manager.","['a college course', 'an apprenticeship', 'applying directly']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa9322f,Immigration officer,Immigration officers make decisions on whether people have the right to visit or stay in the UK.,"excellent verbal communication skills, to be thorough and pay attention to detail, customer service skills, patience and the ability to remain calm in stressful situations, knowledge of English language, the ability to work well with others, the ability to think clearly using logic and reasoning, excellent written communication skills, to be able to use a computer and the main software packages competently","With experience, you could become a senior immigration officer or manager in the Civil Service.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93238,Office manager,Office managers oversee the day-to-day running of an office or department.,"business management skills, administration skills, patience and the ability to remain calm in stressful situations, the ability to organise your time and workload, to be thorough and pay attention to detail, the ability to work well with others, the ability to think clearly using logic and reasoning, excellent verbal communication skills, to be able to use a computer and the main software packages competently, ","You could take on more responsibility for managing projects, or provide cover for senior management duties.

With experience and more qualifications you could become a personal assistant or executive officer.

Other career options include moving into buying and procurement, financial management, business development and operations management.","['a university course', 'a college course', 'an apprenticeship', 'working towards this role', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa93248,Supervisor,Supervisors manage teams of staff and organise their workload.,"leadership skills, the ability to motivate and manage staff, the ability to organise your time and workload, to be thorough and pay attention to detail, the ability to use your initiative, patience and the ability to remain calm in stressful situations, excellent verbal communication skills, business management skills, to be able to use a computer and the main software packages competently, ","With training and experience, you could move into middle management and then senior management positions.

You could also move into a different industry.","['an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.5}
64b13426b8c6cc08ffa9324b,Trade union official,"Trade union officials represent, train and advise union members, carry out research and develop policy.","knowledge of human resources and employment law, knowledge of English language, analytical thinking skills, the ability to use your initiative, to be thorough and pay attention to detail, excellent verbal communication skills, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, to be able to use a computer and the main software packages competently, ","With experience, you could become a regional secretary of your union or move into a post at national head office. You could also move into politics as a councillor or MP.","['a university course', 'an apprenticeship', 'working towards this role', 'applying directly', 'training with a professional body', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93227,Estates officer,Estates officers are responsible for managing and upkeeping land and property that belongs to local councils and public bodies.,"customer service skills, business management skills, administration skills, to be thorough and pay attention to detail, knowledge of economics and accounting, patience and the ability to remain calm in stressful situations, the ability to work well with others, the ability to use your initiative, to be able to use a computer and the main software packages competently","With experience, you may be able to become a manager or specialise in a particular department or area, for example:

rural estates
charities or housing associations
heritage or conservation sites
You may be able to take short courses as part of your job that will help you develop specialist skills.

The public sector often hires private companies to complete their estate work. This means there may be opportunities to move between the private and the public sector.","['a university course', 'an apprenticeship', 'applying directly']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93232,Insurance technician,Insurance technicians give administrative support in all types of insurance work.,"customer service skills, administration skills, to be thorough and pay attention to detail, excellent written communication skills, persistence and determination, the ability to work well with others, patience and the ability to remain calm in stressful situations, the ability to think clearly using logic and reasoning, to be able to use a computer and the main software packages competently, ","You could specialise in a branch of insurance, for instance underwriting, after doing further training like the Level 3 Certificate in Insurance.

You could move into other areas of insurance after getting experience, for example loss adjusting, broking, account management or compliance.","['a university course', 'a college course', 'an apprenticeship', 'working towards this role', 'training with a professional body', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93233,Interpreter,"Interpreters change spoken words from one language into another, either face-to-face or remotely.","foreign language skills, knowledge of English language, to be thorough and pay attention to detail, customer service skills, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, the ability to work on your own, to be flexible and open to change, to be able to use a computer and the main software packages competently, ",You could combine interpreting with translating or teaching. You could also move into the management of interpreting services in the public or private sector.,"['a university course', 'volunteering', 'applying directly', 'specialist courses run by a professional body', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93239,Personal assistant,"Personal assistants carry out support tasks for individuals and managers including administration, diary management and event planning.","administration skills, to be thorough and pay attention to detail, the ability to work well with others, to be flexible and open to change, patience and the ability to remain calm in stressful situations, knowledge of English language, business management skills, excellent verbal communication skills, to be able to use a computer and the main software packages competently, ","With experience, you could move to a larger organisation or work for a more senior manager.

You could also move into an executive assistant (EA) role with more responsibility.

You could supervise and train junior admin professionals.

If you have specific industry knowledge like legal, medical or financial, you could take on specialist PA roles.","['a university course', 'a college course', 'an apprenticeship', 'working your way into the role', 'specialist courses run by private training organisations', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa9321d,Arts administrator,"Arts administrators help organise exhibitions, manage staff and look after buildings like museums.","business management skills, the ability to use your initiative, knowledge of the fine arts, to be thorough and pay attention to detail, excellent verbal communication skills, leadership skills, excellent written communication skills, to be flexible and open to change, to be able to use a computer and the main software packages competently","With experience, you could become an arts officer or manager.

You could also take on freelance work or become a consultant.","['a university course', 'a college course', 'an apprenticeship', 'volunteering', 'applying directly']",,{'requiredWeight': 0.4}
64b13426b8c6cc08ffa93224,Civil Service administrative officer,"Civil Service administrative officers work in government departments, carrying out policies and running services for the public.","administration skills, to be thorough and pay attention to detail, the ability to work well with others, the ability to work on your own, sensitivity and understanding, to be flexible and open to change, excellent verbal communication skills, customer service skills, to be able to use a computer and the main software packages competently","With experience, you'll deal with more complex enquiries, or take on more specialist work related to your department.

With further training, you could apply to become a Civil Service executive officer.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa93229,Financial services customer adviser,"Financial services customer advisers work in contact centres for banks, insurance, investment and credit companies.","to be thorough and pay attention to detail, customer service skills, the ability to work well with others, patience and the ability to remain calm in stressful situations, the ability to accept criticism and work well under pressure, ambition and a desire to succeed, the ability to sell products and services, maths knowledge, to be able to carry out basic tasks on a computer or hand-held device","With more training and qualifications, you could specialise in mortgage advice, pensions or financial advice.","['a college course', 'an apprenticeship', 'working towards this role', 'applying directly', '']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa9322b,Health and safety adviser,"Health and safety advisers work to reduce accidents, injury and health problems in the workplace.","to be thorough and pay attention to detail, the ability to use your initiative, the ability to work well with others, persistence and determination, legal knowledge including court procedures and government regulations, knowledge of public safety and security, knowledge of teaching and the ability to design courses, maths knowledge, to be able to use a computer and the main software packages competently","With experience, you could move into a safety management role.

You could also become a consultant and specialise in a particular area like environmental, construction or food safety. With further study you could move into research, training or lecturing.","['a university course', 'an apprenticeship', 'training through a professional body']",,{'requiredWeight': 0.6}
64b13426b8c6cc08ffa9322d,Health service manager,"Health service managers run local healthcare services like hospitals, GP practices and community clinics.","leadership skills, to be thorough and pay attention to detail, business management skills, the ability to use your judgement and make decisions, administration skills, excellent verbal communication skills, the ability to work well with others, to be flexible and open to change, to be able to use a computer and the main software packages competently","You could complete a higher level management qualification, like a master's in business administration (MBA) or a diploma in management studies (DMS). This may lead to senior managerial jobs at operational and strategic level.

You could also apply for jobs like director or chief executive of a health service provider.","['a university course', 'an apprenticeship', 'working towards this role', 'applying directly']",,{'requiredWeight': 0.5}
